"id","employee_id","designation_id","employee_code","from_date","to_date","file_no","office_order_no","office_order_date","remarks","created_at","updated_at"
"101","101","18","0213","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:36+05:30","2025-12-11 18:55:36+05:30"
"102","102","11","9123","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:36+05:30","2025-12-11 18:55:36+05:30"
"103","103","25","0283","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:36+05:30","2025-12-11 18:55:36+05:30"
"104","104","8","0156","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:36+05:30","2025-12-11 18:55:36+05:30"
"105","105","23","0308","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:36+05:30","2025-12-11 18:55:36+05:30"
"106","106","20","0196","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:36+05:30","2025-12-11 18:55:36+05:30"
"107","107","12","0347","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:36+05:30","2025-12-11 18:55:36+05:30"
"108","108","12","0327","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:36+05:30","2025-12-11 18:55:36+05:30"
"109","109","10","0297","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:36+05:30","2025-12-11 18:55:36+05:30"
"110","110","18","0265","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:36+05:30","2025-12-11 18:55:36+05:30"
"111","111","9","0123","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:37+05:30","2025-12-11 18:55:37+05:30"
"112","112","24","0321","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:37+05:30","2025-12-11 18:55:37+05:30"
"113","113","9","0153","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:37+05:30","2025-12-11 18:55:37+05:30"
"114","114","10","9115","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:37+05:30","2025-12-11 18:55:37+05:30"
"115","115","30","0331","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:37+05:30","2025-12-11 18:55:37+05:30"
"116","116","20","0159","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:37+05:30","2025-12-11 18:55:37+05:30"
"117","117","18","0329","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:37+05:30","2025-12-11 18:55:37+05:30"
"118","118","14","0230","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:37+05:30","2025-12-11 18:55:37+05:30"
"119","119","16","0184","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:37+05:30","2025-12-11 18:55:37+05:30"
"120","120","9","0289","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:37+05:30","2025-12-11 18:55:37+05:30"
"121","121","30","0338","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:37+05:30","2025-12-11 18:55:37+05:30"
"122","122","25","0262","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:38+05:30","2025-12-11 18:55:38+05:30"
"123","123","10","0298","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:38+05:30","2025-12-11 18:55:38+05:30"
"124","124","14","0339","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:38+05:30","2025-12-11 18:55:38+05:30"
