"iec","company_name","file_number","file_date","application_type","office_id","old_name","address_line_1","address_line_2","city","district","state","pincode","gstin","membership_category","star_rating","annual_turnover","export_turnover","rcmc_valid_upto"
"0201011999","PARITOSH BISWAS","RCMCEDITCFIEO0057161AM25","2024-09-01","Edit Certificate Details of e-RCMC","3",NULL,"PETRAPOLE CHECK POST,",NULL,"BONGAON","24 PARAGANAS NORTH","WEST BENGAL","743235","19AEWPB5293C1Z8","Premium Multi Product Group Category","-","570000000","0","2026-03-31"
"0201013207","DEVA INTERNATIONAL EXIM PRIVATE LIMITED","RCMCAPPLYFIEO00053026AM26","2025-08-01","Issuance of e-RCMC","3",NULL,"37/2, TOPSIA ROAD,",NULL,"KOLKATA","KOLKATA","WEST BENGAL","700039","19AADCD1139P1ZC","Premium Multi Product Group Category","-","168159319","0","2026-03-31"
"0201013452","SYNERGY INDUSTRIAL SERVICES PVT LTD","RCMCRENEWFIEO00053958AM25","2024-08-11","Renewal of e-RCMC","3",NULL,"30/1, BALLYGUNGE PLACE","BALLYGUNGE PHARI","KOLKATA","KOLKATA","WEST BENGAL","700019","19AADCS5778F1ZX","Premium Multi Product Group Category","-","183000000","0","2026-03-31"
"0201014181","ANNAPURNA MILLING COMPANY","RCMCRENEWFIEO00092217AM25","2025-03-19","Renewal of e-RCMC","3",NULL,"47B NALINI SETH ROAD,SONAPATTY","3RD FLOOR","KOLKATA","KOLKATA","WEST BENGAL","700007","19AAFFA2142N1ZE","One Star Export House Category","One Star Export House","900000000","0","2026-03-31"
"0201014351","LMG HYDRO PNEUMATICS","RCMCRENEWFIEO00085125AM25","2025-03-03","Renewal of e-RCMC","3",NULL,"5A, N.C.DUTTA SARANI, 3RD FLOOR","(CLIVE GHAT STREET)","KOLKATA","KOLKATA","WEST BENGAL","700001","19AAAFL9785B1Z2","Premium Multi Product Group Category","-","260168129","0","2026-03-31"
"0201014637","NAGREEKA INDCON PRODUCTS PRIVATE LIMITED","RCMCRENEWFIEO00037628AM26","2025-06-05","Renewal of e-RCMC","3",NULL,"258/3 DADRA  U.T. OF","DADRA & NAGAR HAVELI","DADRA","DADRA AND NAGAR HAVELI","DADRA AND NAGAR HAVELI","396193","26AACCM6449G2ZC","Two Star Export house Category","Two Star Export house","975914938","269454171","2026-03-31"
"0201015421","KUNAL EXPORTS","RCMCRENEWFIEO00029680AM24","2023-06-05","Renewal of e-RCMC","3",NULL,"10, CLIVE ROW, 5TH FLOOR,",NULL,"KOLKATA","KOLKATA","WEST BENGAL","700001","19ACUPA0858J1Z7","Multi Product Group Category","-","2900000","2900000","2024-03-31"
"0201015498","WORLD BUSINESS OVERSEAS","RCMCRENEWFIEO00022235AM26","2025-04-28","Renewal of e-RCMC","3",NULL,"WORLD BUSINESS OVERSEAS","5/7 BUROSHIBTOLA MAIN ROAD, H/13 BANGUR COMPLEX","KOLKATA","KOLKATA","WEST BENGAL","700038","19ADIPJ1094Q1ZW","Multi Product Group Category","-","7997662.06","0","2026-03-31"
"0201016397","SARVESHWARI EXPORTS PRIVATE LIMITED","RCMCRENEWFIEO00026567AM25","2024-05-07","Renewal of e-RCMC","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Two Star Export house Category","Two Star Export house","243559396.46","243559396.46","2025-03-31"
"0201016508","BINAYAK HI-TECH ENGINEERING PRIVATE LIMITED","RCMCRENEWFIEO00096738AM25","2025-03-24","Renewal of e-RCMC","3",NULL,"117 /2 MIRPARA ROAD","LILUAH  BHATTANAGAR","HOWRAH","HOWRAH","WEST BENGAL","711203","19AABCB2869G1ZK","Three Star Export House Category","Three Star Export House","1037347525.17","0","2026-03-31"
"0201017482","PRABHAT  AGENCIES,","RCMCRENEWFIEO00092982AM25","2025-03-20","Renewal of e-RCMC","3",NULL,"424, MARSHALL HOUSE, 4TH FLOOR,","33/1, NETAJI SUBHAS ROAD,","KOLKATA","KOLKATA","WEST BENGAL","700001","19ACYPA7822N1ZT","Premium Multi Product Group Category","-","62184128","21931974","2026-03-31"
"0202000117","SHALIMAR WIRES INDUSTRIES LIMITED","RCMCRENEWFIEO00090670AM25","2025-03-18","Renewal of e-RCMC","3",NULL,"25 GANESH CHANDRA  AVENUE",NULL,"KOLKATA","KOLKATA","WEST BENGAL","700013","19AAICS2281G1Z6","One Star Export House Category","One Star Export House","268585933","0","2026-03-31"
"0202000745","SHREE JEE INTERNATIONAL (INDIA)","RCMCRENEWFIEO00040220AM26","2025-06-15","Renewal of e-RCMC","3",NULL,"4 FAIRLIE PLACE 1ST FLOOR ROOM NO. 101",NULL,"KOLKATA","KOLKATA","WEST BENGAL","700001","19ACQPJ4013J1ZF","Multi Product Group Category","-","7524425","7524425","2026-03-31"
"0202000893","T & I PROJECTS LTD","RCMCRENEWFIEO00049085AM23","2023-03-19","Renewal of e-RCMC","3",NULL,"S F NO 8 AND 15 SEERAPALAYAM","BODIPALAYAM POST, MADUKKARAI TALUK","COIMBATORE","COIMBATORE","TAMIL NADU","641105","33AAACT8459P1ZO","Premium Multi Product Group Category","-","546342210","0","2028-03-31"
"0202002080","ESSEX INC","RCMCRENEWFIEO00065288AM26","2025-10-14","Renewal of e-RCMC","3",NULL,"ESSEX INC  19 POLLOCK STREET","7TH FLOOR, ROOM NO : 7","KOLKATA","KOLKATA","WEST BENGAL","700001","19AOXPS1271A1ZN","Premium Multi Product Group Category","-","94946691","0","2026-03-31"
"0202002781","HOLTZMAN SYSTEMS PRIVATE LIMITED","RCMCRENEWFIEO00061703AM24","2023-11-22","Renewal of e-RCMC","3",NULL,"46/31/1, GARIAHAT ROAD,","BALLYGUNGE NEW AC MARKET, 4TH FLOOR CONTACT NO: 919432012872","KOLKATA","KOLKATA","WEST BENGAL","700029","19AAACH7208L1ZD","Premium Multi Product Group Category","-","87608080","4768558","2025-03-31"
"0202003558","P.B. HOLOTECH INDIA PRIVATE LIMITED","RCMCRENEWFIEO00048003AM24","2023-08-22","Renewal of e-RCMC","3",NULL,"8C, MAHARSHI DEVENDRA ROAD,6TH","FLOOR, ROOM NO.40,","KOLKATA","KOLKATA","WEST BENGAL","700007","19AACCP2435P1Z0","Multi Product Group Category","-","50000000","0","2028-03-31"
